Period,PrivatePublicSecLiabilities,M1Growth,M1GrowthRate,GrowthStatusM1
2015-05,1403350,9373,0.667901806391848,Growth
2015-04,1393977,-8673,-0.622176693015738,Decline
2015-03,1402650,35092,2.50183581078673,Growth
2015-02,1367558,-6589,-0.481807718575739,Decline
2015-01,1374147,3167,0.230470248088451,Growth
2014-12,1370980,6601,0.481480400881122,Growth
2014-11,1364379,24801,1.81775005332096,Growth
2014-10,1339578,-5844,-0.436256791317863,Decline
2014-09,1345422,20994,1.5604026097388,Growth
2014-08,1324428,-4960,-0.374501294143585,Decline
2014-07,1329388,-6688,-0.50308863928364,Decline
2014-06,1336076,14158,1.05967025827872,Growth
2014-05,1321918,14768,1.11716460476368,Growth
2014-04,1307150,-11297,-0.864246643460965,Decline
2014-03,1318447,24721,1.87500900680877,Growth
2014-02,1293726,12439,0.961486435303921,Growth
2014-01,1281287,1556,0.12144039547736,Growth
2013-12,1279731,7909,0.618020505871937,Growth
2013-11,1271822,21514,1.69158891731705,Growth
2013-10,1250308,10112,0.808760721358257,Growth
2013-09,1240196,17263,1.39195740028189,Growth
2013-08,1222933,-5611,-0.458814996406181,Decline
2013-07,1228544,1369,0.111432720358408,Growth
2013-06,1227175,20034,1.63252999775908,Growth
2013-05,1207141,14612,1.21046340071292,Growth
2013-04,1192529,-3975,-0.333325227311034,Decline
2013-03,1196504,25542,2.13471914845249,Growth
2013-02,1170962,13720,1.17168618622978,Growth
2013-01,1157242,2003,0.173083935771429,Growth
2012-12,1155239,8681,0.751446237531801,Growth
2012-11,1146558,19791,1.7261228825755,Growth
2012-10,1126767,-5364,-0.476052280551347,Decline
2012-09,1132131,30994,2.7376690506664,Growth
2012-08,1101137,-13390,-1.21601580911367,Decline
2012-07,1114527,787,0.0706129147162877,Growth
2012-06,1113740,24244,2.17680966832474,Growth
2012-05,1089496,14538,1.33437846490487,Growth
2012-04,1074958,-25832,-2.40307063159677,Decline
2012-03,1100790,22543,2.04789287693384,Growth
2012-02,1078247,-5806,-0.538466603663168,Decline
2012-01,1084053,2643,0.24380726772584,Growth
2011-12,1081410,-35728,-3.30383480825959,Decline
2011-11,1117138,26853,2.40373167862878,Growth
2011-10,1090285,-14400,-1.32075558225602,Decline
2011-09,1104685,12490,1.13063905095118,Growth
2011-08,1092195,12597,1.1533654704517,Growth
2011-07,1079598,-1547,-0.143294077980878,Decline
2011-06,1081145,-9665,-0.893959644636011,Decline
2011-05,1090810,21930,2.0104326142958,Growth
2011-04,1068880,-27526,-2.57521892073947,Decline
2011-03,1096406,32313,2.94717467799337,Growth
2011-02,1064093,-3654,-0.343391038189331,Decline
2011-01,1067747,-12692,-1.18867109905249,Decline
2010-12,1080439,-5465,-0.505812914935503,Decline
2010-11,1085904,-5287,-0.486875451236942,Decline
2010-10,1091191,2336,0.214078012007064,Growth
2010-09,1088855,4415,0.405471802948969,Growth
2010-08,1084440,-14556,-1.34225959942459,Decline
2010-07,1098996,-20397,-1.85596671871417,Decline
2010-06,1119393,15972,1.42684472745497,Growth
2010-05,1103421,20571,1.86429295799156,Growth
2010-04,1082850,-31909,-2.94676086253867,Decline
2010-03,1114759,14784,1.32620593330038,Growth
2010-02,1099975,14458,1.31439350894338,Growth
2010-01,1085517,24063,2.21673175086157,Growth
2009-12,1061454,-5371,-0.506004028436465,Decline
2009-11,1066825,19365,1.81519930635296,Growth
2009-10,1047460,-5253,-0.501498863918431,Decline
2009-09,1052713,51665,4.9077953820272,Growth
2009-08,1001048,5383,0.537736452198096,Growth
2009-07,995665,-14761,-1.48252675347632,Decline
2009-06,1010426,-65,-0.00643293026901525,Decline
2009-05,1010491,2917,0.288671546802495,Growth
2009-04,1007574,-37991,-3.77054191553176,Decline
2009-03,1045565,9874,0.944369790496048,Growth
2009-02,1035691,-1905,-0.183935169852784,Decline
2009-01,1037596,8240,0.794143385286759,Growth
2008-12,1029356,12596,1.22367771694147,Growth
2008-11,1016760,30270,2.97710374129588,Growth
2008-10,986490,-13125,-1.33047471337773,Decline
2008-09,999615,27879,2.78897375489563,Growth
2008-08,971736,-15392,-1.58396930853647,Decline
2008-07,987128,-24399,-2.47171592741772,Decline
2008-06,1011527,6201,0.613033562129335,Growth
2008-05,1005326,2914,0.2898562257417,Growth
2008-04,1002412,-31468,-3.13922818162592,Decline
2008-03,1033880,26203,2.53443339652571,Growth
2008-02,1007677,-2418,-0.239957843634419,Decline
2008-01,1010095,87798,8.69205371771962,Growth
2007-12,922297,-4696,-0.509163534089344,Decline
2007-11,926993,13882,1.49753018631209,Growth
2007-10,913111,-1965,-0.215198371282352,Decline
2007-09,915076,24961,2.72775157473259,Growth
2007-08,890115,6697,0.752374693157626,Growth
2007-07,883418,343,0.038826467198993,Growth
2007-06,883075,15402,1.74413271805905,Growth
2007-05,867673,28278,3.25906188160747,Growth
2007-04,839395,-10843,-1.29176371076787,Decline
2007-03,850238,21358,2.51200252164688,Growth
2007-02,828880,6101,0.736053469742303,Growth
2007-01,822779,-13739,-1.66982871463662,Decline
2006-12,836518,14548,1.73911380269163,Growth
2006-11,821970,12379,1.50601603464847,Growth
2006-10,809591,6686,0.825849101583392,Growth
2006-09,802905,9800,1.22056781312858,Growth
2006-08,793105,3106,0.391625320733068,Growth
2006-07,789999,655,0.0829114973563258,Growth
